max accuracy,number of clauses,s
98.25581395348837,2000,10
98.15891472868216,2000,12
97.86821705426357,2000,14
97.67441860465115,2000,16
97.57751937984496,2000,18
97.28682170542635,2000,20
97.48062015503875,2000,22
97.38372093023256,2000,24
96.99612403100775,2000,26
96.89922480620154,2000,28
96.51162790697676,2000,30
98.64341085271317,4000,10
98.15891472868216,4000,12
98.35271317829456,4000,14
98.44961240310077,4000,16
97.96511627906976,4000,18
97.57751937984496,4000,20
97.96511627906976,4000,22
98.25581395348837,4000,24
97.38372093023256,4000,26
97.48062015503875,4000,28
97.28682170542635,4000,30
98.15891472868216,6000,10
98.35271317829456,6000,12
98.44961240310077,6000,14
98.54651162790698,6000,16
98.15891472868216,6000,18
98.25581395348837,6000,20
97.96511627906976,6000,22
97.86821705426357,6000,24
97.96511627906976,6000,26
97.96511627906976,6000,28
97.57751937984496,6000,30
98.35271317829456,8000,10
98.35271317829456,8000,12
98.35271317829456,8000,14
98.35271317829456,8000,16
98.15891472868216,8000,18
98.15891472868216,8000,20
98.35271317829456,8000,22
98.15891472868216,8000,24
97.96511627906976,8000,26
97.96511627906976,8000,28
97.57751937984496,8000,30
98.64341085271317,10000,10
98.35271317829456,10000,12
98.54651162790698,10000,14
98.15891472868216,10000,16
98.25581395348837,10000,18
98.25581395348837,10000,20
98.25581395348837,10000,22
98.06201550387597,10000,24
98.25581395348837,10000,26
98.15891472868216,10000,28
98.15891472868216,10000,30
98.44961240310077,12000,10
98.35271317829456,12000,12
98.35271317829456,12000,14
98.44961240310077,12000,16
98.44961240310077,12000,18
98.35271317829456,12000,20
98.15891472868216,12000,22
98.15891472868216,12000,24
98.06201550387597,12000,26
98.06201550387597,12000,28
98.06201550387597,12000,30
98.44961240310077,14000,10
98.44961240310077,14000,12
98.35271317829456,14000,14
98.44961240310077,14000,16
98.25581395348837,14000,18
98.44961240310077,14000,20
98.44961240310077,14000,22
98.25581395348837,14000,24
98.06201550387597,14000,26
98.06201550387597,14000,28
97.86821705426357,14000,30
98.64341085271317,16000,10
98.44961240310077,16000,12
98.44961240310077,16000,14
98.44961240310077,16000,16
98.35271317829456,16000,18
98.64341085271317,16000,20
98.35271317829456,16000,22
98.15891472868216,16000,24
98.35271317829456,16000,26
98.06201550387597,16000,28
97.96511627906976,16000,30
98.35271317829456,18000,10
98.64341085271317,18000,12
98.35271317829456,18000,14
98.44961240310077,18000,16
98.74031007751938,18000,18
98.54651162790698,18000,20
98.54651162790698,18000,22
98.44961240310077,18000,24
98.25581395348837,18000,26
98.44961240310077,18000,28
98.25581395348837,18000,30
98.54651162790698,20000,10
98.35271317829456,20000,12
98.44961240310077,20000,14
98.44961240310077,20000,16
98.44961240310077,20000,18
98.35271317829456,20000,20
98.25581395348837,20000,22
98.35271317829456,20000,24
98.44961240310077,20000,26
98.25581395348837,20000,28
98.15891472868216,20000,30
