max accuracy,number of clauses,s
97.77131782945736,1000,5
97.67441860465115,1000,10
95.93023255813954,1000,15
95.44573643410853,1000,20
94.67054263565892,1000,25
93.6046511627907,1000,30
97.77131782945736,5000,5
97.86821705426357,5000,10
98.06201550387597,5000,15
97.67441860465115,5000,20
97.48062015503875,5000,25
96.99612403100775,5000,30
97.77131782945736,10000,5
97.86821705426357,10000,10
98.06201550387597,10000,15
98.06201550387597,10000,20
97.77131782945736,10000,25
97.28682170542635,10000,30
97.86821705426357,20000,5
97.77131782945736,20000,10
97.77131782945736,20000,15
98.25581395348837,20000,20
98.15891472868216,20000,25
98.06201550387597,20000,30
97.77131782945736,30000,5
97.96511627906976,30000,10
97.96511627906976,30000,15
97.86821705426357,30000,20
97.96511627906976,30000,25
98.35271317829456,30000,30
